rawX;rawY;rawZ;timestampsensorType;
0,18632634;2,5301156;9,68897;454;0
0,2353596;2,5595355;9,747809;463;0
0,28439283;2,5497289;9,787037;474;0
0,35303938;2,520309;9,86549;484;0
0,39226598;2,520309;9,934136;494;0
0,39226598;2,5105023;10,002783;504;0
0,4118793;2,490889;10,002783;514;0
0,42168593;2,5497289;9,914523;526;0
0,40207264;2,5987623;9,914523;534;0
0,38245934;2,6379888;9,89491;543;0
0,4314926;2,7164419;9,816457;553;0
0,4314926;2,7164419;9,816457;563;0
0,30400613;2,7948952;9,757616;574;0
0,30400613;2,7948952;9,757616;583;0
0,32361946;2,8733485;9,581097;594;0
0,32361946;2,8733485;9,581097;604;0
0,35303938;3,0890946;9,492837;615;0
0,36284605;3,0106416;9,492837;623;0
0,38245934;3,1381278;9,433997;636;0
0,4118793;3,2361944;9,355544;644;0
0,40207264;3,2852278;9,316318;654;0
0,37265268;3,3146477;9,247671;664;0
0,37265268;3,2950344;9,277091;675;0
0,38245934;3,2361944;9,218251;685;0
0,39226598;3,2067745;9,277091;695;0
0,32361946;3,1283212;9,277091;704;0
0,3138128;3,108708;9,257478;714;0
0,36284605;3,0890946;9,149604;724;0
0,38245934;3,0596747;9,061344;733;0
0,40207264;3,0890946;8,973084;745;0
0,44129923;3,079288;8,894631;753;0
0,60801226;3,0989013;8,747532;763;0
0,6766588;3,1185145;8,629851;774;0
0,74530536;3,0596747;8,472945;784;0
0,75511205;3,0106416;8,345459;793;0
0,83356524;2,9027684;8,237586;804;0
0,8629852;2,745862;8,13952;814;0
0,8629852;2,6379888;8,119906;823;0
0,98066497;2,608569;8,149326;833;0
1,176798;2,5301156;8,365072;843;0
1,372931;2,432049;8,521978;855;0
1,5200307;2,441856;8,629851;863;0
1,6377105;2,4810824;8,718112;873;0
1,6279038;2,5105023;8,806372;883;0
1,4808041;2,5301156;8,943665;894;0
1,3533176;2,5987623;8,953471;903;0
1,2454445;2,657602;8,943665;913;0
1,0885382;2,687022;9,012311;923;0
1,0395049;2,6674087;9,002504;933;0
1,0198916;2,6968286;9,041731;944;0
0,98066497;2,6968286;9,169217;953;0
0,9022118;2,745862;9,267284;964;0
0,7747253;2,775282;9,394771;973;0
0,6668522;2,8145084;9,57129;983;0
0,5982056;2,7262487;9,60071;995;0
0,55897903;2,5105023;9,747809;1004;0
0,5001391;2,3045628;9,9047165;1014;0
0,4314926;2,0888164;10,071429;1023;0
0,37265268;1,9515233;10,277369;1034;0
0,2745862;1,8044236;10,473502;1044;0
0,17651969;1,7553903;10,5715685;1055;0
0,1569064;1,539644;10,777508;1064;0
0,16671304;1,3827376;10,895188;1076;0
0,1372931;1,176798;11,052094;1083;0
0,0588399;0,8531785;10,973641;1094;0
0,10787315;0,44129923;10,797121;1104;0
0,10787315;0,088259846;10,669635;1113;0
